Speaker,Content
CARL,"Quite a sight, huh Ellie? (noticing mailbox) Uhp, mail's here."
CARL,Shady Oaks Retirement.    Oh brother.
CARL,Hm.
CARL,No. Yes. Tell your boss over there that you boys are ruining our house.
CARL,I believe I made my position to your boss quite clear.
CARL,"Oh yeah, that was good. Here, let me talk to him."
CARL,"(in megaphone) You in the suit. Yes, you.      Take a bath, hippy!"
CARL,Tell your boss he can have our house.
CARL,When I'm dead! Carl SLAMS the door.
RUSSELL,"""Good afternoon. My name is Russell. And I am a Wilderness Explorer in Tribe 54, Sweatlodge 12. Are you in need of any assistance today, sir?"""
CARL,No.
RUSSELL,I could help you cross the street.
CARL,No.
RUSSELL,I could help you cross your yard.
CARL,No.
RUSSELL,I could help you cross your... porch?
CARL,No.
RUSSELL,"Well, I gotta help you cross something."
CARL,"Uh, no.   I'm doing fine."
RUSSELL,"""Good afternoon. My name is Russell."""
CARL,Uh... kid...
RUSSELL,"""And I am a Wilderness Explorer in Tribe 54, Sweatlodge 12."""
CARL,Kid.   KID!!
RUSSELL,"""Are you in need of any assistance today Sir?"""
CARL,"Thank you, but I don't need any help!"
RUSSELL,Ow.
RUSSELL,"""Good afternoon. My-"""
CARL,But skip to the end!
RUSSELL,"See these? These are my Wilderness Explorer badges. You may notice one is missing. It's my Assisting the Elderly badge. If I get it I will become a Senior Wilderness Explorer! Russell makes the Explorer Sign: his thumbs form a ""W"", his fingers the ""wings"" of a bird, then the ""claws"" of a bear."
RUSSELL,"""The wilderness must be explored!"
RUSSELL,"It's gonna be great! There's a big ceremony, and all the dads come, and they pin on our badges..."
CARL,So you want to assist an old person?
RUSSELL,Yep! Then I will be a Senior Wilderness Explorer! Carl leans in close to Russell.
RUSSELL,Snipe?
CARL,Bird. Beady eyes. Every night it sneaks in my yard and gobbles my poor azaleas. I'm elderly and infirm. I can't catch it. If only someone could help me...
RUSSELL,Me! Me!   I'll do it!
CARL,"Oh, I don't know, it's awfully crafty. You'd have to clap your hands three times to lure it in."
RUSSELL,"I'll find it, Mr. Fredricksen!"
CARL,I think its burrow is two blocks down. If you go past --
RUSSELL,Two blocks down! Got it!
RUSSELL,Sniiiipe! Here Snipey Snipey...
CARL,(calls after Russell) Bring it back here when you find it! Carl rolls his eyes and begins to close his door.
CARL,What? Hey! Hey you!         What do you think you're doing?
CARL,Don't touch that!
CARL,I don't want you to touch it! Carl HITS the worker with his cane.      He falls to the sidewalk. The worker rubs his head.    Blood.
CARL,"What do I do now, Ellie?"
CARL,Morning gentlemen.
CARL,Ready as I'll ever be. Would you do me a favor and take this?
CARL,I'll meet you at the van in just a minute. I... want to say one last goodbye to the old place.
CARL,So long boys! I'll send you a postcard from Paradise Falls!
CARL,"We're on our way, Ellie. Carl kneels at the fireplace and plunks the balloon strings tied to the grate. He CHUCKLES and settles into his chair.   He closes his eyes and smiles. SHADOWS move gently across the fireplace mantle."
CARL,Huh?
CARL,Hm.
RUSSELL,"Hi, Mr. Fredricksen.    It's me, Russell."
CARL,"What are you doing out here, kid?"
RUSSELL,"I found the snipe and I followed it under your porch, but this snipe had a long tail and looked more like a large mouse."
RUSSELL,Please let me in?
CARL,No.
CARL,"Oh, alright, you can come... Russell runs into the house past Carl."
CARL,...in.
RUSSELL,Huh. I've never been in a floating house before.
RUSSELL,Goggles.   Look at this stuff! Russell finds Ellie's house drawing sitting on the pages of the open atlas.
RUSSELL,"Wow, you going on a trip? (reads from the engraving) ""Paradise Falls: A Land Lost in Time."" You going to South America, Mr. Fredricksen? Carl takes the page and puts it in his pocket."
CARL,Don't touch that.   You'll soil it.
RUSSELL,"You know, most people take a plane, but you're smart because you'll have all your TV and clocks and stuff. Russell runs over to the steering rig."
RUSSELL,Whoah.   Is this how you steer your house?   Does it really work?
CARL,"Kid, would you stop with the -- Russell steers and the house tilts, knocking Carl back and forth."
RUSSELL,"Oh, this makes it go right, and that way's left."
CARL,Let go of the -- knock it off! Russell looks out the window in front of him.
RUSSELL,"Hey look, buildings!"
RUSSELL,That building's so close I could almost touch it.
RUSSELL,"Wow! This is great! You should try this, Mr. Fredricksen! Look, there's a bus that could take me home two blocks away! (looking up) Hey, I can see your house from here!"
CARL,"(struggling to hold on) Don't jerk around so much, kid!"
CARL,"Well, that's not gonna work."
RUSSELL,"I know that cloud, it's a Cumulo Nimbus. Did you know that the Cumulo Nimbus..."
CARL,"Stayed up all night blowing up balloons, for what?"
